sample_id,image_id,subset,object_name,label,score,prediction,selected_probe
1,310196,adversarial,snowboard,0,6.29697969998233e-05,0,query_token_layer_35
2,310196,adversarial,backpack,0,8.023079863050953e-05,0,query_token_layer_35
3,310196,adversarial,person,0,8.887262811185792e-05,0,query_token_layer_35
4,310196,adversarial,car,0,0.00021843629656359553,0,query_token_layer_35
5,310196,adversarial,skis,0,5.376607532525668e-06,0,query_token_layer_35
6,310196,adversarial,dog,0,0.0003159301704727113,0,query_token_layer_35
13,429109,adversarial,person,0,0.03279656916856766,0,query_token_layer_35
14,429109,adversarial,dining table,0,0.00015156045265030116,0,query_token_layer_35
15,429109,adversarial,bicycle,0,0.0050679645501077175,0,query_token_layer_35
16,429109,adversarial,motorcycle,0,2.2374215404852293e-06,0,query_token_layer_35
17,429109,adversarial,car,0,0.009112698026001453,0,query_token_layer_35
25,458338,adversarial,traffic light,0,0.0008271654369309545,0,query_token_layer_35
26,458338,adversarial,bus,0,0.00013283378211781383,0,query_token_layer_35
27,458338,adversarial,person,0,0.013749663718044758,0,query_token_layer_35
28,458338,adversarial,dining table,0,0.00031013114494271576,0,query_token_layer_35
29,458338,adversarial,car,0,0.000534486782271415,0,query_token_layer_35
55,17708,adversarial,bird,0,6.7528075305745e-05,0,query_token_layer_35
56,17708,adversarial,handbag,0,8.227287253248505e-06,0,query_token_layer_35
57,17708,adversarial,person,0,0.003734485013410449,0,query_token_layer_35
58,17708,adversarial,car,0,0.00037644224357791245,0,query_token_layer_35
59,17708,adversarial,boat,0,2.143355959560722e-05,0,query_token_layer_35
60,17708,adversarial,chair,0,2.694934664759785e-06,0,query_token_layer_35
79,569839,adversarial,person,0,0.00019311887444928288,0,query_token_layer_35
80,569839,adversarial,car,0,8.596834231866524e-05,0,query_token_layer_35
82,569839,adversarial,bowl,0,0.0005703866481781006,0,query_token_layer_35
84,569839,adversarial,handbag,1,0.9602308869361877,0,query_token_layer_35
103,131115,adversarial,baseball glove,0,0.002952172188088298,0,query_token_layer_35
105,131115,adversarial,person,0,3.66409367416054e-05,0,query_token_layer_35
106,131115,adversarial,car,0,0.0003542328195180744,0,query_token_layer_35
107,131115,adversarial,baseball bat,0,6.365389708662406e-05,0,query_token_layer_35
127,75591,adversarial,bed,0,0.21231383085250854,0,query_token_layer_35
128,75591,adversarial,person,0,0.00033944929600693285,0,query_token_layer_35
129,75591,adversarial,cat,0,0.0003183310618624091,0,query_token_layer_35
130,75591,adversarial,couch,0,9.363261779071763e-05,0,query_token_layer_35
131,75591,adversarial,book,0,0.011013549752533436,0,query_token_layer_35
132,75591,adversarial,tv,0,6.3404372667719144e-06,0,query_token_layer_35
163,140583,adversarial,truck,0,0.010609389282763004,0,query_token_layer_35
165,140583,adversarial,person,0,0.01996036246418953,0,query_token_layer_35
166,140583,adversarial,dining table,0,1.729132782202214e-05,0,query_token_layer_35
167,140583,adversarial,cow,0,5.755737220169976e-06,0,query_token_layer_35
168,140583,adversarial,bicycle,0,0.00038205363671295345,0,query_token_layer_35
217,498759,adversarial,person,0,0.0010096239857375622,0,query_token_layer_35
218,498759,adversarial,dining table,0,3.221545921405777e-05,0,query_token_layer_35
219,498759,adversarial,skateboard,0,0.0001200745246023871,0,query_token_layer_35
220,498759,adversarial,bicycle,0,0.0002429139567539096,0,query_token_layer_35
221,498759,adversarial,car,0,0.0002567465999163687,0,query_token_layer_35
222,498759,adversarial,truck,0,3.991748144471785e-06,0,query_token_layer_35
223,360600,adversarial,person,0,0.00036198340239934623,0,query_token_layer_35
224,360600,adversarial,car,0,9.939109440892935e-05,0,query_token_layer_35
225,360600,adversarial,fork,0,0.9065322279930115,0,query_token_layer_35
226,360600,adversarial,dining table,0,1.9652225091704167e-05,0,query_token_layer_35
227,360600,adversarial,knife,0,0.0007285039755515754,0,query_token_layer_35
228,360600,adversarial,spoon,1,0.8538890480995178,0,query_token_layer_35
229,31773,adversarial,tv,1,0.9919593930244446,1,query_token_layer_35
230,31773,adversarial,chair,1,0.01484616193920374,0,query_token_layer_35
231,31773,adversarial,person,0,0.00025984752574004233,0,query_token_layer_35
232,31773,adversarial,car,0,2.990948451042641e-05,0,query_token_layer_35
234,31773,adversarial,cell phone,0,2.142190396625665e-06,0,query_token_layer_35
236,500257,adversarial,dining table,0,4.114701005164534e-05,0,query_token_layer_35
239,500257,adversarial,person,0,0.0008966650348156691,0,query_token_layer_35
240,500257,adversarial,car,0,7.860072400944773e-06,0,query_token_layer_35
253,565941,adversarial,person,0,6.30780341452919e-05,0,query_token_layer_35
254,565941,adversarial,car,0,9.248989226762205e-05,0,query_token_layer_35
255,565941,adversarial,bottle,0,0.009146378375589848,0,query_token_layer_35
257,565941,adversarial,dining table,0,0.8470128774642944,0,query_token_layer_35
258,565941,adversarial,laptop,0,3.090289965257398e-06,0,query_token_layer_35
307,437347,adversarial,baseball glove,0,0.002861988265067339,0,query_token_layer_35
308,437347,adversarial,baseball bat,0,1.57623908307869e-05,0,query_token_layer_35
309,437347,adversarial,person,0,0.0004889157717116177,0,query_token_layer_35
310,437347,adversarial,car,0,5.3658699471270666e-05,0,query_token_layer_35
311,437347,adversarial,sports ball,0,0.9775087833404541,1,query_token_layer_35
312,437347,adversarial,tennis racket,0,0.00019583298126235604,0,query_token_layer_35
313,354229,adversarial,person,0,0.12912830710411072,0,query_token_layer_35
314,354229,adversarial,dining table,0,5.891740875085816e-05,0,query_token_layer_35
315,354229,adversarial,car,0,0.003635425353422761,0,query_token_layer_35
317,354229,adversarial,bus,0,0.0002072155912173912,0,query_token_layer_35
318,354229,adversarial,traffic light,0,0.00010853965068235993,0,query_token_layer_35
319,538236,adversarial,person,0,0.14087466895580292,0,query_token_layer_35
320,538236,adversarial,car,0,0.00015067352796904743,0,query_token_layer_35
321,538236,adversarial,dining table,0,0.16528360545635223,0,query_token_layer_35
322,538236,adversarial,cup,0,2.301805216120556e-05,0,query_token_layer_35
323,538236,adversarial,handbag,0,0.9002159237861633,0,query_token_layer_35
324,538236,adversarial,backpack,0,1.0515102076169569e-05,0,query_token_layer_35
325,236865,adversarial,person,0,7.2419538810208905e-06,0,query_token_layer_35
326,236865,adversarial,dining table,0,0.00010445499356137589,0,query_token_layer_35
327,236865,adversarial,orange,0,0.00010779804870253429,0,query_token_layer_35
328,236865,adversarial,bowl,0,4.249997073202394e-05,0,query_token_layer_35
329,236865,adversarial,car,0,0.0002761587093118578,0,query_token_layer_35
330,236865,adversarial,truck,0,7.920630196167622e-06,0,query_token_layer_35
337,60213,adversarial,backpack,0,0.06227667257189751,0,query_token_layer_35
338,60213,adversarial,person,0,0.00016629720630589873,0,query_token_layer_35
339,60213,adversarial,bed,0,0.00010789625957841054,0,query_token_layer_35
340,60213,adversarial,dining table,0,0.00019812886603176594,0,query_token_layer_35
341,60213,adversarial,book,0,4.675577201851411e-06,0,query_token_layer_35
349,84447,adversarial,person,0,0.00019239491666667163,0,query_token_layer_35
350,84447,adversarial,car,0,0.00012742994294967502,0,query_token_layer_35
351,84447,adversarial,motorcycle,0,0.00011155177344335243,0,query_token_layer_35
352,84447,adversarial,truck,0,0.00014684894995298237,0,query_token_layer_35
354,84447,adversarial,bus,0,5.238682933850214e-05,0,query_token_layer_35
361,575755,adversarial,sandwich,0,8.101845742203295e-05,0,query_token_layer_35
362,575755,adversarial,cup,0,3.2940490200417116e-05,0,query_token_layer_35
363,575755,adversarial,carrot,0,0.14928172528743744,0,query_token_layer_35
364,575755,adversarial,bowl,0,3.898554132319987e-05,0,query_token_layer_35
365,575755,adversarial,broccoli,0,4.353059011918958e-06,0,query_token_layer_35
366,575755,adversarial,knife,0,0.00012304526171647012,0,query_token_layer_35
391,170365,adversarial,sink,0,0.0007684426964260638,0,query_token_layer_35
392,170365,adversarial,bottle,0,5.349739876692183e-05,0,query_token_layer_35
393,170365,adversarial,potted plant,0,1.6364107068511657e-05,0,query_token_layer_35
394,170365,adversarial,person,0,0.00014230029773898423,0,query_token_layer_35
395,170365,adversarial,toilet,0,3.403721711947583e-05,0,query_token_layer_35
396,170365,adversarial,vase,1,0.00036244577495381236,0,query_token_layer_35
439,231589,adversarial,chair,0,0.006119308993220329,0,query_token_layer_35
440,231589,adversarial,dining table,0,0.00015832734061405063,0,query_token_layer_35
441,231589,adversarial,person,0,4.654644271795405e-06,0,query_token_layer_35
442,231589,adversarial,car,0,9.548626985633746e-05,0,query_token_layer_35
444,231589,adversarial,tv,0,6.360711267916486e-05,0,query_token_layer_35
470,332625,adversarial,dining table,0,1.4493411981675308e-05,0,query_token_layer_35
471,332625,adversarial,person,0,0.000235544444876723,0,query_token_layer_35
472,332625,adversarial,car,0,7.176336657721549e-05,0,query_token_layer_35
473,332625,adversarial,airplane,0,0.01058977097272873,0,query_token_layer_35
474,332625,adversarial,truck,0,2.77709259535186e-05,0,query_token_layer_35
547,81336,adversarial,traffic light,0,0.002665995853021741,0,query_token_layer_35
550,81336,adversarial,motorcycle,0,1.1253070624661632e-05,0,query_token_layer_35
551,81336,adversarial,person,0,0.01174011267721653,0,query_token_layer_35
552,81336,adversarial,dining table,0,0.000136611532070674,0,query_token_layer_35
632,572075,adversarial,cup,0,1.2626618627109565e-05,0,query_token_layer_35
633,572075,adversarial,toilet,0,0.0009214722667820752,0,query_token_layer_35
634,572075,adversarial,sink,0,4.2536539694992825e-05,0,query_token_layer_35
635,572075,adversarial,cat,0,1.5438650734722614e-05,0,query_token_layer_35
