run_id,model_name,dataset_name,subset_scope,seed,block,pair_id,source,config_name,classifier,status,failure_reason,row_id,signal_builder,method_family,sequence_model,learning_rate,max_epochs,patience,transform,feature_protocol,wavelet,level,window_strategy,window_size,stride,mode,cwt_scales,train_samples,val_samples,test_samples,train_pos,val_pos,test_pos,feature_shape,feature_seconds,train_eval_seconds,total_seconds,best_epoch,best_validation_pr_auc,epochs_ran,early_stopped,converged,max_epoch_reached,pr_auc,test_pr_auc,average_precision,test_average_precision,roc_auc,test_roc_auc,best_val_threshold,test_f1,test_precision,test_recall,balanced_accuracy,tpr_at_1pct_fpr,fpr_at_95pct_tpr,yes_no_trace_source,window_mode,threshold_selection_reason,best_params,training_curve_csv,training_curve_json,quick_run,threshold,f1,precision,recall
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,A,A_dwt_db6_l2,Teacher,A_dwt_db6_l2::Teacher::logreg,logreg,failure,DWT level 2 is not feasible for length 36 and wavelet 'db6'; max level is 1,A_dwt_db6_l2::Teacher,teacher_hidden_dim_signal,teacher_bagua,,,,,dwt,wavelet_summary_static_pooled,db6,2,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.04910798091441393,,0.04910798091441393,,,,,,,,,,,,,,,,,,,,,global,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,A,A_dwt_db6_l2,Ours,A_dwt_db6_l2::Ours::logreg,logreg,failure,DWT level 2 is not feasible for length 36 and wavelet 'db6'; max level is 1,A_dwt_db6_l2::Ours,ours_semantic_trace_signal,ours_wavelet,,,,,dwt,wavelet_summary_static_pooled,db6,2,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.05074850097298622,,0.05074850097298622,,,,,,,,,,,,,,,,,,,,final_broadcast,global,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,A,A_dwt_sym6_l2,Teacher,A_dwt_sym6_l2::Teacher::logreg,logreg,failure,DWT level 2 is not feasible for length 36 and wavelet 'sym6'; max level is 1,A_dwt_sym6_l2::Teacher,teacher_hidden_dim_signal,teacher_bagua,,,,,dwt,wavelet_summary_static_pooled,sym6,2,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.0452016678173095,,0.0452016678173095,,,,,,,,,,,,,,,,,,,,,global,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,A,A_dwt_sym6_l2,Ours,A_dwt_sym6_l2::Ours::logreg,logreg,failure,DWT level 2 is not feasible for length 36 and wavelet 'sym6'; max level is 1,A_dwt_sym6_l2::Ours,ours_semantic_trace_signal,ours_wavelet,,,,,dwt,wavelet_summary_static_pooled,sym6,2,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.05002960190176964,,0.05002960190176964,,,,,,,,,,,,,,,,,,,,final_broadcast,global,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,A,A_dwt_coif2_l2,Teacher,A_dwt_coif2_l2::Teacher::logreg,logreg,failure,DWT level 2 is not feasible for length 36 and wavelet 'coif2'; max level is 1,A_dwt_coif2_l2::Teacher,teacher_hidden_dim_signal,teacher_bagua,,,,,dwt,wavelet_summary_static_pooled,coif2,2,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.04558708402328193,,0.04558708402328193,,,,,,,,,,,,,,,,,,,,,global,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,A,A_dwt_coif2_l2,Ours,A_dwt_coif2_l2::Ours::logreg,logreg,failure,DWT level 2 is not feasible for length 36 and wavelet 'coif2'; max level is 1,A_dwt_coif2_l2::Ours,ours_semantic_trace_signal,ours_wavelet,,,,,dwt,wavelet_summary_static_pooled,coif2,2,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.0511470518540591,,0.0511470518540591,,,,,,,,,,,,,,,,,,,,final_broadcast,global,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,B,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001,Teacher,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001::Teacher::lstm_projected_lr0p001,lstm_projected_lr0p001,failure,SWT level 2 is not feasible for length 6; max level is 1,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001::Teacher,teacher_hidden_dim_signal,teacher_bagua,lstm_projected,0.001,200,20,swt,window_stat28_sequence,db2,2,sliding,6,3,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.05059418687596917,,0.05059418687596917,,,,,,,,,,,,,,,,,,,,,win6_s3,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,B,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p0003,Teacher,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p0003::Teacher::lstm_projected_lr0p0003,lstm_projected_lr0p0003,failure,SWT level 2 is not feasible for length 6; max level is 1,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p0003::Teacher,teacher_hidden_dim_signal,teacher_bagua,lstm_projected,0.0003,200,20,swt,window_stat28_sequence,db2,2,sliding,6,3,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.05059418687596917,,0.05059418687596917,,,,,,,,,,,,,,,,,,,,,win6_s3,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,B,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001,Ours,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001::Ours::lstm_projected_lr0p001,lstm_projected_lr0p001,failure,SWT level 2 is not feasible for length 6; max level is 1,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001::Ours,ours_semantic_trace_signal,ours_wavelet,lstm_projected,0.001,200,20,swt,window_stat28_sequence,db2,2,sliding,6,3,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.050910101970657706,,0.050910101970657706,,,,,,,,,,,,,,,,,,,,final_broadcast,win6_s3,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,B,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p0003,Ours,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p0003::Ours::lstm_projected_lr0p0003,lstm_projected_lr0p0003,failure,SWT level 2 is not feasible for length 6; max level is 1,B_win6_s3_window_stat28_sequence_lstm_projected__lstm_projected_lr0p0003::Ours,ours_semantic_trace_signal,ours_wavelet,lstm_projected,0.0003,200,20,swt,window_stat28_sequence,db2,2,sliding,6,3,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.050910101970657706,,0.050910101970657706,,,,,,,,,,,,,,,,,,,,final_broadcast,win6_s3,,,,,false,universal_soft,,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,B,B_win9_s9_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001,Teacher,B_win9_s9_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001::Teacher::lstm_projected_lr0p001,lstm_projected_lr0p001,failure,SWT level 2 is not feasible for length 9; max level is 0,B_win9_s9_window_stat28_sequence_lstm_projected__lstm_projected_lr0p001::Teacher,teacher_hidden_dim_signal,teacher_bagua,lstm_projected,0.001,200,20,swt,window_stat28_sequence,db2,2,non_overlapping,9,9,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",,,,,,,,0.04500135499984026,,0.04500135499984026,,,,,,,,,,,,,,,,,,,,,win9_s9,,,,,false,universal_soft,,,
